I0.phi_h X,I0.phi_h Y
0.0001025107792263733,1.799999976758011
0.0001025153025692462,1.799999978690698
0.0001025208394489739,1.799999979813925
0.0001025276072083604,1.799999980385404
0.0001025358608051974,1.799999980546929
0.0001025458965143408,1.799999980361401
0.0001025580640735405,1.799999979849451
0.0001025727783423308,1.799999979014179
0.0001025905471406505,1.799999977865254
0.0001026120419236747,1.799999976442027
0.0001026382975307644,1.799999974838735
0.0001026708770111557,1.799999973227502
0.0001027096683975173,1.799999971967622
0.0001027499844675207,1.799999971387755
0.0001027852863497298,1.799999971345384
0.0001028226428085708,1.799999971626088
0.0001028772599611262,1.79999997244548
0.00010296,1.799999974045252
0.00010297305920156,1.799999974334382
0.0001029839753911845,1.799999974570597
0.0001029985288210549,1.799999974886478
0.0001030276356807957,1.799999975483721
0.0001030858494002773,1.79999997656848
0.0001032022768392405,1.799999978306893
0.0001033281566840845,1.799999979643872
0.0001034602389060551,1.799999980592087
0.000103603855219554,1.799999981265586
0.0001037607898371351,1.799999981736406
0.0001039373520411817,1.799999982073027
0.0001041418732277393,1.799999982318326
0.0001043871855359398,1.799999982496101
0.0001046989823479991,1.799999982616504
